Record_ID,Car_Model,Model_Year,Mileage_KM,Fault_Category,Fault_Type,Fault_Code,Fault_Name,Severity,Parts_Availability,Garage_Type,Mechanic_Expertise,Day_of_Week,Time_of_Day,Actual_Repair_Hours,Repair_Cost_LKR,PartsRequired_Names
34,Honda Civic,2013,64531,Transmission,Fluid Leak,TRA-857,Fluid Leak Issue,High,In Stock,Authorized,Senior,Weekday,Evening,6.03,34500,"Gearbox Mount, Transmission Fluid Filter"
35,Toyota Prius,2019,159472,Engine,Timing Issue,ENG-522,Timing Issue Issue,Medium,In Stock,Local,Junior,Weekday,Afternoon,3.46,14300,"Engine Oil Filter, Spark Plug"
36,Suzuki WagonR,2017,151024,Brake,Brake Pad Wear,BRA-207,Brake Pad Wear Issue,Low,Order Required,Local,Junior,Weekday,Evening,2.49,10700,"Brake Fluid Hose, Brake Pad"
37,Suzuki WagonR,2008,154349,Electrical,Battery Drain,ELE-926,Battery Drain Issue,Low,Order Required,Local,Expert,Weekend,Afternoon,2.24,8600,"Wiring Harness, Fuse"
38,Honda Civic,2020,64544,Engine,Overheating,ENG-450,Overheating Issue,High,Order Required,Authorized,Expert,Weekend,Afternoon,7.36,27800,"Spark Plug, Timing Belt"
39,Suzuki Alto,2013,94673,Brake,Brake Pad Wear,BRA-207,Brake Pad Wear Issue,High,In Stock,Authorized,Junior,Weekday,Afternoon,6.24,22000,"Brake Pad, Brake Caliper"
40,Toyota Prius,2016,127510,Transmission,Gear Slip,TRA-571,Gear Slip Issue,Medium,Order Required,Authorized,Junior,Weekend,Afternoon,3.4,15700,"Clutch Plate, Gearbox Mount"
41,Suzuki Alto,2013,75389,Suspension,Wheel Alignment,SUS-239,Wheel Alignment Issue,Medium,In Stock,Local,Senior,Weekend,Evening,4.49,21900,"Ball Joint, Shock Absorber"
42,Toyota Corolla,2018,178268,Engine,Overheating,ENG-450,Overheating Issue,Medium,In Stock,Local,Junior,Weekday,Evening,3.46,19900,"Spark Plug, Engine Oil Filter"
43,Toyota Prius,2017,79403,Brake,Brake Fluid Leak,BRA-253,Brake Fluid Leak Issue,Low,Order Required,Local,Senior,Weekend,Afternoon,1.86,9000,"Brake Disc, Brake Pad"
44,Toyota Prius,2015,85780,Engine,Oil Leak,ENG-170,Oil Leak Issue,Low,In Stock,Authorized,Expert,Weekday,Evening,2.79,16300,"Spark Plug, Fuel Injector"
45,Toyota Corolla,2017,37528,Transmission,Gear Slip,TRA-571,Gear Slip Issue,High,In Stock,Authorized,Senior,Weekend,Evening,6.57,37900,"Clutch Plate, Gearbox Mount"
46,Suzuki WagonR,2011,161876,Suspension,Steering Issue,SUS-930,Steering Issue Issue,High,In Stock,Local,Senior,Weekday,Evening,7.35,25800,"Strut Mount, Ball Joint"
47,Nissan Sunny,2011,98552,Engine,Overheating,ENG-450,Overheating Issue,Low,Order Required,Authorized,Expert,Weekday,Evening,1.09,6100,"Spark Plug, Fuel Injector"
48,Toyota Prius,2019,154024,Engine,Misfire,ENG-847,Misfire Issue,High,Order Required,Local,Expert,Weekend,Afternoon,6.56,24100,"Spark Plug, Fuel Injector"
49,Toyota Prius,2022,67392,Brake,ABS Fault,BRA-102,ABS Fault Issue,Low,In Stock,Local,Junior,Weekend,Evening,1.56,8500,"Brake Pad, Brake Disc"
50,Suzuki Alto,2013,116698,Engine,Timing Issue,ENG-522,Timing Issue Issue,High,In Stock,Authorized,Junior,Weekend,Afternoon,6.46,37600,"Piston Ring, Spark Plug"
51,Toyota Prius,2018,27970,Engine,Timing Issue,ENG-522,Timing Issue Issue,Low,In Stock,Authorized,Expert,Weekend,Evening,2.88,13400,"Timing Belt, Fuel Injector"
52,Toyota Prius,2010,87160,Suspension,Steering Issue,SUS-930,Steering Issue Issue,Medium,In Stock,Authorized,Expert,Weekend,Evening,4.21,15300,"Strut Mount, Control Arm"
53,Honda Fit,2014,144262,Brake,Brake Pad Wear,BRA-207,Brake Pad Wear Issue,High,Order Required,Authorized,Junior,Weekday,Afternoon,6.73,39500,"Brake Disc, Brake Caliper"
54,Toyota Prius,2020,116104,Engine,Overheating,ENG-450,Overheating Issue,High,Order Required,Local,Junior,Weekday,Morning,5.86,20700,"Piston Ring, Fuel Injector"
55,Toyota Corolla,2011,121242,Transmission,Clutch Wear,TRA-196,Clutch Wear Issue,Low,In Stock,Local,Expert,Weekend,Morning,2.31,8500,"Clutch Plate, Transmission Fluid Filter"
56,Nissan Sunny,2009,63940,Engine,Oil Leak,ENG-170,Oil Leak Issue,High,In Stock,Local,Senior,Weekend,Afternoon,5.61,20200,"Piston Ring, Timing Belt"
57,Toyota Prius,2008,167714,Transmission,Fluid Leak,TRA-857,Fluid Leak Issue,Low,Order Required,Authorized,Expert,Weekday,Morning,2.38,11600,"Transmission Fluid Filter, Gearbox Mount"
58,Suzuki WagonR,2014,40402,Electrical,Battery Drain,ELE-926,Battery Drain Issue,High,In Stock,Authorized,Junior,Weekend,Afternoon,5.67,33900,"Alternator, Battery"
59,Honda Fit,2015,127987,Transmission,Fluid Leak,TRA-857,Fluid Leak Issue,Low,In Stock,Authorized,Junior,Weekend,Morning,2.54,10600,"Gearbox Mount, Transmission Fluid Filter"
60,Toyota Corolla,2017,156513,Transmission,Gear Slip,TRA-571,Gear Slip Issue,Medium,Order Required,Authorized,Expert,Weekend,Afternoon,4.6,25200,"Gearbox Mount, Transmission Fluid Filter"
61,Suzuki WagonR,2010,128727,Electrical,Sensor Failure,ELE-256,Sensor Failure Issue,High,In Stock,Local,Senior,Weekday,Afternoon,6.36,23300,"Alternator, Starter Motor"
62,Toyota Corolla,2013,128271,Electrical,Sensor Failure,ELE-256,Sensor Failure Issue,Medium,In Stock,Local,Expert,Weekend,Afternoon,4.31,15800,"Battery, Alternator"
63,Suzuki WagonR,2010,97544,Brake,ABS Fault,BRA-102,ABS Fault Issue,High,Order Required,Authorized,Junior,Weekday,Afternoon,5.95,28800,"Brake Disc, Brake Fluid Hose"
64,Honda Civic,2009,63362,Electrical,Sensor Failure,ELE-256,Sensor Failure Issue,Medium,In Stock,Local,Junior,Weekend,Afternoon,4.11,19200,"Battery, Alternator"
65,Honda Civic,2009,122443,Engine,Timing Issue,ENG-522,Timing Issue Issue,High,Order Required,Local,Expert,Weekend,Evening,5.8,20700,"Engine Oil Filter, Piston Ring"
66,Suzuki Alto,2011,26358,Electrical,Alternator Failure,ELE-439,Alternator Failure Issue,Low,In Stock,Authorized,Expert,Weekday,Morning,2.27,12100,"Fuse, Battery"
67,Toyota Corolla,2009,30754,Electrical,Alternator Failure,ELE-439,Alternator Failure Issue,Low,Order Required,Authorized,Expert,Weekend,Evening,1.9,8400,"Battery, Wiring Harness"
68,Suzuki WagonR,2013,119198,Suspension,Wheel Alignment,SUS-239,Wheel Alignment Issue,Low,Order Required,Authorized,Expert,Weekday,Afternoon,1.5,8900,"Control Arm, Strut Mount"
69,Honda Fit,2018,145740,Electrical,Battery Drain,ELE-926,Battery Drain Issue,Medium,Order Required,Local,Junior,Weekend,Morning,3.11,12400,"Battery, Starter Motor"
70,Toyota Prius,2009,68813,Electrical,Battery Drain,ELE-926,Battery Drain Issue,Low,Order Required,Authorized,Expert,Weekend,Morning,2.69,9400,"Battery, Wiring Harness"
71,Nissan Sunny,2015,67163,Electrical,Battery Drain,ELE-926,Battery Drain Issue,Medium,Order Required,Authorized,Expert,Weekend,Evening,4.33,23800,"Fuse, Alternator"
72,Toyota Corolla,2022,168386,Transmission,Gear Slip,TRA-571,Gear Slip Issue,Medium,In Stock,Local,Junior,Weekday,Morning,3.76,16100,"Transmission Fluid Filter, Gearbox Mount"
73,Nissan Sunny,2017,23170,Suspension,Shock Absorber Wear,SUS-606,Shock Absorber Wear Issue,Low,Order Required,Local,Expert,Weekday,Evening,2.51,12700,"Strut Mount, Ball Joint"
74,Honda Civic,2013,139763,Electrical,Battery Drain,ELE-926,Battery Drain Issue,Low,In Stock,Authorized,Junior,Weekend,Morning,2.48,10600,"Alternator, Starter Motor"
75,Honda Civic,2009,165046,Engine,Overheating,ENG-450,Overheating Issue,Medium,Order Required,Authorized,Senior,Weekend,Evening,3.87,13500,"Piston Ring, Spark Plug"
76,Nissan Sunny,2021,128974,Engine,Oil Leak,ENG-170,Oil Leak Issue,High,Order Required,Local,Expert,Weekday,Afternoon,6.22,26900,"Fuel Injector, Timing Belt"
77,Toyota Prius,2009,124385,Engine,Timing Issue,ENG-522,Timing Issue Issue,Low,In Stock,Local,Junior,Weekend,Morning,1.35,5200,"Engine Oil Filter, Timing Belt"
78,Toyota Prius,2013,129293,Brake,Brake Fluid Leak,BRA-253,Brake Fluid Leak Issue,Low,In Stock,Local,Junior,Weekday,Evening,2.6,13200,"Brake Fluid Hose, Brake Disc"
79,Honda Civic,2009,91895,Suspension,Wheel Alignment,SUS-239,Wheel Alignment Issue,High,Order Required,Authorized,Junior,Weekday,Evening,5.75,34200,"Shock Absorber, Strut Mount"
80,Honda Fit,2012,122234,Brake,Brake Pad Wear,BRA-207,Brake Pad Wear Issue,High,Order Required,Local,Senior,Weekend,Evening,6.95,37500,"Brake Disc, Brake Fluid Hose"
81,Toyota Prius,2013,66116,Transmission,Clutch Wear,TRA-196,Clutch Wear Issue,Low,Order Required,Local,Senior,Weekend,Afternoon,2.66,11900,"Transmission Fluid Filter, Clutch Plate"
82,Suzuki WagonR,2019,88543,Brake,Brake Fluid Leak,BRA-253,Brake Fluid Leak Issue,High,Order Required,Local,Junior,Weekday,Morning,6.29,23200,"Brake Disc, Brake Pad"
83,Toyota Corolla,2020,73196,Transmission,Fluid Leak,TRA-857,Fluid Leak Issue,High,Order Required,Local,Expert,Weekend,Morning,6.04,27800,"Transmission Fluid Filter, Clutch Plate"
84,Toyota Corolla,2009,48041,Brake,ABS Fault,BRA-102,ABS Fault Issue,High,In Stock,Authorized,Senior,Weekday,Morning,6.26,28800,"Brake Disc, Brake Caliper"
85,Suzuki WagonR,2009,104148,Engine,Overheating,ENG-450,Overheating Issue,Medium,In Stock,Local,Senior,Weekday,Morning,3.52,14900,"Spark Plug, Piston Ring"
86,Toyota Prius,2015,159740,Transmission,Fluid Leak,TRA-857,Fluid Leak Issue,High,Order Required,Local,Junior,Weekday,Afternoon,6.5,23000,"Clutch Plate, Transmission Fluid Filter"
87,Toyota Corolla,2022,29937,Suspension,Shock Absorber Wear,SUS-606,Shock Absorber Wear Issue,Medium,Order Required,Authorized,Senior,Weekday,Afternoon,3.8,20500,"Shock Absorber, Control Arm"
88,Toyota Corolla,2021,20280,Electrical,Alternator Failure,ELE-439,Alternator Failure Issue,Medium,In Stock,Local,Expert,Weekend,Evening,3.43,16500,"Alternator, Starter Motor"
89,Honda Civic,2010,59933,Transmission,Clutch Wear,TRA-196,Clutch Wear Issue,High,Order Required,Authorized,Senior,Weekend,Morning,7.15,34500,"Gearbox Mount, Clutch Plate"
90,Honda Civic,2010,73045,Engine,Timing Issue,ENG-522,Timing Issue Issue,High,Order Required,Authorized,Junior,Weekend,Morning,7.24,40500,"Engine Oil Filter, Fuel Injector"
91,Nissan Sunny,2017,101356,Suspension,Steering Issue,SUS-930,Steering Issue Issue,Medium,Order Required,Local,Junior,Weekend,Morning,4.54,18500,"Shock Absorber, Strut Mount"
92,Suzuki Alto,2017,110375,Brake,ABS Fault,BRA-102,ABS Fault Issue,Low,Order Required,Local,Expert,Weekday,Morning,2.41,8500,"Brake Disc, Brake Caliper"
93,Suzuki WagonR,2014,156736,Transmission,Clutch Wear,TRA-196,Clutch Wear Issue,Medium,In Stock,Local,Senior,Weekday,Morning,4.6,21200,"Transmission Fluid Filter, Clutch Plate"
94,Nissan Sunny,2008,32021,Suspension,Wheel Alignment,SUS-239,Wheel Alignment Issue,Medium,In Stock,Local,Expert,Weekend,Morning,4.84,24800,"Ball Joint, Shock Absorber"
95,Nissan Sunny,2020,98609,Brake,Brake Fluid Leak,BRA-253,Brake Fluid Leak Issue,High,Order Required,Authorized,Senior,Weekday,Morning,5.82,24800,"Brake Caliper, Brake Fluid Hose"
96,Honda Fit,2021,51656,Brake,Brake Fluid Leak,BRA-253,Brake Fluid Leak Issue,Low,In Stock,Local,Expert,Weekday,Afternoon,1.61,8900,"Brake Fluid Hose, Brake Pad"
97,Suzuki Alto,2020,137718,Transmission,Gear Slip,TRA-571,Gear Slip Issue,Medium,Order Required,Local,Expert,Weekend,Evening,3.86,22800,"Gearbox Mount, Clutch Plate"
98,Suzuki Alto,2019,174363,Brake,Brake Fluid Leak,BRA-253,Brake Fluid Leak Issue,Low,Order Required,Local,Expert,Weekday,Morning,1.62,9100,"Brake Disc, Brake Caliper"
99,Toyota Prius,2008,82325,Engine,Timing Issue,ENG-522,Timing Issue Issue,Medium,In Stock,Authorized,Expert,Weekend,Afternoon,4.31,23400,"Fuel Injector, Engine Oil Filter"
100,Nissan Sunny,2009,99061,Brake,Brake Pad Wear,BRA-207,Brake Pad Wear Issue,Low,Order Required,Local,Junior,Weekend,Evening,2.74,14100,"Brake Fluid Hose, Brake Disc"
101,Honda Civic,2019,97945,Electrical,Alternator Failure,ELE-439,Alternator Failure Issue,High,In Stock,Authorized,Junior,Weekend,Evening,7.44,35600,"Battery, Starter Motor"
102,Honda Fit,2013,43038,Transmission,Clutch Wear,TRA-196,Clutch Wear Issue,Low,In Stock,Local,Junior,Weekday,Evening,2.86,13500,"Clutch Plate, Transmission Fluid Filter"
103,Suzuki WagonR,2017,93367,Transmission,Fluid Leak,TRA-857,Fluid Leak Issue,Medium,In Stock,Local,Expert,Weekday,Morning,4.75,21600,"Gearbox Mount, Clutch Plate"
104,Nissan Sunny,2021,110973,Suspension,Steering Issue,SUS-930,Steering Issue Issue,Low,In Stock,Local,Senior,Weekday,Evening,1.6,7400,"Shock Absorber, Control Arm"
105,Toyota Corolla,2009,99528,Suspension,Shock Absorber Wear,SUS-606,Shock Absorber Wear Issue,Medium,In Stock,Local,Senior,Weekend,Afternoon,3.92,21000,"Ball Joint, Shock Absorber"
106,Honda Civic,2017,66272,Transmission,Clutch Wear,TRA-196,Clutch Wear Issue,Medium,In Stock,Authorized,Senior,Weekend,Morning,4.8,25300,"Gearbox Mount, Transmission Fluid Filter"
107,Nissan Sunny,2020,108560,Brake,Brake Fluid Leak,BRA-253,Brake Fluid Leak Issue,Medium,In Stock,Authorized,Senior,Weekend,Morning,4.73,25000,"Brake Fluid Hose, Brake Pad"
108,Suzuki Alto,2019,127138,Transmission,Fluid Leak,TRA-857,Fluid Leak Issue,Low,Order Required,Local,Expert,Weekday,Morning,2.85,11200,"Clutch Plate, Transmission Fluid Filter"
109,Toyota Corolla,2016,143254,Electrical,Sensor Failure,ELE-256,Sensor Failure Issue,Low,Order Required,Local,Junior,Weekday,Afternoon,1.46,8300,"Battery, Starter Motor"
110,Toyota Corolla,2012,34376,Electrical,Wiring Fault,ELE-831,Wiring Fault Issue,Medium,In Stock,Local,Expert,Weekend,Morning,3.61,16700,"Starter Motor, Wiring Harness"
111,Suzuki Alto,2013,140172,Electrical,Alternator Failure,ELE-439,Alternator Failure Issue,High,Order Required,Local,Junior,Weekend,Morning,7.12,25500,"Battery, Wiring Harness"
112,Honda Fit,2016,152209,Brake,Brake Fluid Leak,BRA-253,Brake Fluid Leak Issue,High,In Stock,Local,Junior,Weekend,Afternoon,5.65,20100,"Brake Disc, Brake Pad"
113,Honda Civic,2009,108951,Electrical,Wiring Fault,ELE-831,Wiring Fault Issue,High,Order Required,Authorized,Junior,Weekend,Morning,6.28,31400,"Alternator, Battery"
114,Nissan Sunny,2011,23993,Transmission,Fluid Leak,TRA-857,Fluid Leak Issue,High,In Stock,Authorized,Junior,Weekday,Morning,6.42,35700,"Transmission Fluid Filter, Clutch Plate"
115,Suzuki Alto,2016,154702,Suspension,Steering Issue,SUS-930,Steering Issue Issue,Low,In Stock,Local,Expert,Weekday,Evening,2.49,9600,"Ball Joint, Control Arm"
116,Honda Civic,2018,130793,Suspension,Steering Issue,SUS-930,Steering Issue Issue,High,Order Required,Authorized,Junior,Weekday,Afternoon,6.82,33900,"Shock Absorber, Control Arm"
117,Honda Fit,2018,71495,Brake,Brake Fluid Leak,BRA-253,Brake Fluid Leak Issue,Low,In Stock,Authorized,Expert,Weekend,Morning,1.97,8400,"Brake Disc, Brake Caliper"
118,Nissan Sunny,2012,92349,Transmission,Gear Slip,TRA-571,Gear Slip Issue,Low,Order Required,Authorized,Junior,Weekend,Morning,1.91,8600,"Transmission Fluid Filter, Clutch Plate"
119,Nissan Sunny,2018,89799,Electrical,Alternator Failure,ELE-439,Alternator Failure Issue,Medium,Order Required,Authorized,Junior,Weekday,Morning,3.79,19000,"Battery, Alternator"
120,Suzuki WagonR,2012,39962,Engine,Overheating,ENG-450,Overheating Issue,High,Order Required,Local,Junior,Weekday,Evening,5.72,20300,"Spark Plug, Engine Oil Filter"
121,Toyota Prius,2013,145242,Engine,Overheating,ENG-450,Overheating Issue,High,In Stock,Local,Expert,Weekend,Morning,6.72,33900,"Spark Plug, Engine Oil Filter"
122,Toyota Prius,2018,114241,Suspension,Shock Absorber Wear,SUS-606,Shock Absorber Wear Issue,Medium,Order Required,Local,Expert,Weekend,Evening,4.43,23100,"Ball Joint, Shock Absorber"
123,Suzuki WagonR,2017,156589,Transmission,Clutch Wear,TRA-196,Clutch Wear Issue,Low,Order Required,Authorized,Expert,Weekend,Morning,2.23,9400,"Gearbox Mount, Transmission Fluid Filter"
124,Toyota Prius,2018,169025,Transmission,Gear Slip,TRA-571,Gear Slip Issue,High,In Stock,Local,Junior,Weekday,Evening,7.04,35000,"Clutch Plate, Gearbox Mount"
125,Honda Fit,2009,150967,Engine,Misfire,ENG-847,Misfire Issue,High,Order Required,Local,Junior,Weekday,Evening,6.73,39500,"Spark Plug, Timing Belt"
126,Toyota Corolla,2011,120836,Electrical,Battery Drain,ELE-926,Battery Drain Issue,Medium,Order Required,Local,Senior,Weekend,Morning,4.7,17200,"Fuse, Starter Motor"
127,Toyota Prius,2011,121656,Transmission,Clutch Wear,TRA-196,Clutch Wear Issue,Low,In Stock,Local,Junior,Weekend,Evening,2.41,8400,"Clutch Plate, Gearbox Mount"
128,Honda Fit,2009,159589,Brake,ABS Fault,BRA-102,ABS Fault Issue,Medium,In Stock,Local,Expert,Weekend,Afternoon,3.26,13100,"Brake Pad, Brake Disc"
129,Honda Fit,2014,139009,Engine,Timing Issue,ENG-522,Timing Issue Issue,Low,In Stock,Local,Junior,Weekend,Morning,1.84,7700,"Engine Oil Filter, Timing Belt"
130,Toyota Prius,2021,73294,Electrical,Alternator Failure,ELE-439,Alternator Failure Issue,Medium,Order Required,Local,Senior,Weekday,Evening,4.35,18400,"Wiring Harness, Battery"
131,Suzuki WagonR,2017,145919,Suspension,Shock Absorber Wear,SUS-606,Shock Absorber Wear Issue,Medium,In Stock,Local,Expert,Weekday,Evening,4.16,14600,"Shock Absorber, Control Arm"
132,Toyota Corolla,2017,163018,Engine,Timing Issue,ENG-522,Timing Issue Issue,High,In Stock,Local,Junior,Weekday,Morning,6.14,25500,"Timing Belt, Engine Oil Filter"
133,Honda Fit,2015,144070,Transmission,Fluid Leak,TRA-857,Fluid Leak Issue,Low,In Stock,Local,Expert,Weekend,Morning,2.06,8000,"Transmission Fluid Filter, Gearbox Mount"
134,Toyota Corolla,2018,62448,Transmission,Clutch Wear,TRA-196,Clutch Wear Issue,Low,In Stock,Local,Junior,Weekend,Afternoon,1.59,6400,"Gearbox Mount, Clutch Plate"
135,Suzuki Alto,2011,48102,Electrical,Battery Drain,ELE-926,Battery Drain Issue,Medium,Order Required,Authorized,Senior,Weekend,Afternoon,3.6,17200,"Fuse, Wiring Harness"
136,Honda Civic,2010,91040,Suspension,Shock Absorber Wear,SUS-606,Shock Absorber Wear Issue,Low,Order Required,Local,Junior,Weekend,Morning,2.77,11200,"Strut Mount, Shock Absorber"
137,Honda Civic,2019,43346,Electrical,Wiring Fault,ELE-831,Wiring Fault Issue,Low,In Stock,Authorized,Senior,Weekend,Morning,1.05,5100,"Fuse, Wiring Harness"
138,Nissan Sunny,2018,38497,Brake,Brake Fluid Leak,BRA-253,Brake Fluid Leak Issue,Medium,Order Required,Local,Expert,Weekend,Evening,3.78,13700,"Brake Fluid Hose, Brake Caliper"
139,Toyota Prius,2014,132694,Suspension,Shock Absorber Wear,SUS-606,Shock Absorber Wear Issue,Low,Order Required,Local,Senior,Weekday,Evening,2.93,12400,"Control Arm, Shock Absorber"
140,Honda Fit,2015,143711,Engine,Oil Leak,ENG-170,Oil Leak Issue,Medium,Order Required,Local,Junior,Weekday,Morning,3.36,17600,"Fuel Injector, Spark Plug"
141,Honda Fit,2021,178839,Suspension,Steering Issue,SUS-930,Steering Issue Issue,High,In Stock,Authorized,Expert,Weekday,Afternoon,5.73,28600,"Strut Mount, Shock Absorber"
142,Toyota Corolla,2021,22950,Electrical,Alternator Failure,ELE-439,Alternator Failure Issue,High,Order Required,Authorized,Senior,Weekend,Evening,7.1,32200,"Fuse, Battery"
143,Honda Fit,2010,163319,Suspension,Steering Issue,SUS-930,Steering Issue Issue,Low,Order Required,Authorized,Senior,Weekend,Evening,2.86,10100,"Ball Joint, Control Arm"
